,0
1643,5699089
1644,5696982
1645,5696919
1646,5696918
1647,5696916
1648,5696915
1649,5696914
1650,5696533
1651,5694610
1652,5694609
1653,5694608
1654,5694563
1655,5694562
1656,5694561
1657,5694560
1658,5694559
1659,5694558
1660,5694544
1661,5694151
1662,5694150
1663,5692213
1664,5692212
1665,5692206
1666,5692205
1667,5692145
1668,5692144
1669,5692143
1670,5692142
1671,5692141
1672,5692140
1673,5691744
1674,5691742
1675,5689724
1676,5689723
1677,5689718
1678,5689717
1679,5689716
1680,5689669
1681,5689668
1682,5689667
1683,5689666
1684,5689665
1685,5689664
1686,5689663
1687,5689662
1688,5689286
1689,5687386
1690,5687385
1691,5687334
1692,5687333
1693,5687332
1694,5687331
1695,5686938
1696,5685003
1697,5685002
1698,5685001
1699,5684970
1700,5684969
1701,5684968
1702,5684716
1703,5684506
1704,5682543
1705,5682542
1706,5682541
1707,5682540
1708,5682538
1709,5682511
1710,5682510
1711,5682490
1712,5682489
1713,5682488
1714,5682487
1715,5682486
1716,5682326
1717,5680639
1718,5680638
1719,5680636
1720,5680630
1721,5680629
1722,5680563
1723,5680562
1724,5680561
1725,5680560
1726,5680559
1727,5680558
1728,5680557
1729,5680323
1730,5678054
1731,5678015
1732,5678014
1733,5678013
1734,5678002
1735,5675827
1736,5675821
1737,5675820
1738,5675815
1739,5675756
1740,5675755
1741,5675754
1742,5675753
1743,5675752
1744,5675511
1745,5675390
1746,5673406
1747,5673405
1748,5673404
1749,5673403
1750,5671438
1751,5671429
1752,5671428
1753,5671427
1754,5671381
1755,5671380
1756,5671379
1757,5671378
1758,5671377
1759,5669007
1760,5669006
1761,5669005
1762,5668966
1763,5668965
1764,5668964
1765,5668962
1766,5668961
1767,5668959
1768,5668571
1769,5666555
1770,5666554
1771,5666553
1772,5666552
1773,5666549
1774,5666543
1775,5666542
1776,5666504
1777,5666503
1778,5666502
1779,5666501
1780,5666500
1781,5666499
1782,5666498
1783,5666136
1784,5666135
1785,5664227
1786,5664216
1787,5664210
1788,5664209
1789,5664208
1790,5664207
1791,5664133
1792,5664132
1793,5664130
1794,5664129
1795,5664128
1796,5664127
1797,5664126
1798,5659793
1799,5659792
1800,5659791
1801,5659790
1802,5659772
1803,5659771
1804,5659770
1805,5659769
1806,5659768
1807,5659767
1808,5659694
1809,5659693
1810,5659692
1811,5659691
1812,5659676
1813,5657463
1814,5657462
1815,5657461
1816,5657460
1817,5657437
1818,5657050
1819,5657049
1820,5655144
1821,5655130
1822,5655095
1823,5655094
1824,5655093
1825,5655066
1826,5652901
1827,5652899
1828,5652851
1829,5652850
1830,5652849
1831,5651120
1832,5651108
1833,5651107
1834,5649234
1835,5649223
1836,5649222
1837,5649221
1838,5649220
1839,5649218
1840,5649216
1841,5649133
1842,5649132
1843,5649131
1844,5646866
1845,5646647
1846,5644776
1847,5644740
1848,5644739
1849,5644738
1850,5644737
1851,5644736
1852,5644735
1853,5644693
1854,5644692
1855,5642522
1856,5642521
1857,5642490
1858,5642477
1859,5642131
1860,5640590
1861,5640589
1862,5640587
1863,5640581
1864,5640580
1865,5640579
1866,5640577
1867,5640544
1868,5640522
1869,5640501
1870,5640498
1871,5640176
1872,5638523
1873,5638522
1874,5638505
1875,5638504
1876,5636340
1877,5635953
1878,5634134
1879,5634133
1880,5634102
1881,5634095
1882,5634094
1883,5634066
1884,5634064
1885,5634062
1886,5634021
1887,5634020
1888,5634019
1889,5634018
1890,5634017
1891,5634016
1892,5633996
1893,5632022
1894,5632009
1895,5630150
1896,5630081
1897,5630080
1898,5630079
1899,5630042
1900,5628008
1901,5627980
1902,5627979
1903,5627978
1904,5627977
1905,5627960
1906,5627959
1907,5627958
1908,5627748
1909,5627564
1910,5625833
1911,5625827
1912,5625782
1913,5625781
1914,5625771
1915,5625763
1916,5625377
1917,5623690
1918,5623682
1919,5623681
1920,5623679
1921,5623612
1922,5623592
1923,5623591
1924,5623590
1925,5623589
1926,5623588
1927,5621906
1928,5621905
1929,5621904
1930,5621903
1931,5621880
1932,5621879
1933,5621878
1934,5621877
1935,5621876
1936,5621875
1937,5621874
1938,5621873
1939,5621641
1940,5621434
1941,5621430
1942,5621429
1943,5619721
1944,5619709
1945,5619708
1946,5619640
1947,5619639
1948,5619638
1949,5619637
1950,5619636
1951,5619635
1952,5619634
1953,5617548
1954,5617528
1955,5617527
1956,5617526
1957,5617525
1958,5617522
1959,5617314
1960,5615384
1961,5615347
1962,5615346
1963,5615326
1964,5615325
1965,5614927
1966,5613150
1967,5613145
1968,5613134
1969,5613131
1970,5613116
1971,5613058
1972,5613057
1973,5611060
1974,5611059
1975,5611040
1976,5611039
1977,5611038
1978,5611031
1979,5611027
1980,5610630
1981,5608861
1982,5608860
1983,5608859
1984,5608858
1985,5608857
1986,5608625
1987,5608624
1988,5606674
1989,5606345
1990,5606344
1991,5604897
1992,5604861
1993,5604860
1994,5604859
1995,5604858
1996,5604854
1997,5604853
1998,5604512
1999,5602997
2000,5602996
2001,5602982
2002,5602981
2003,5602564
2004,5600844
2005,5600781
2006,5600779
2007,5600778
2008,5600777
2009,5600776
2010,5600775
2011,5600771
2012,5600770
2013,5600556
2014,5600346
2015,5598524
2016,5598523
2017,5598522
2018,5598521
2019,5598519
2020,5598518
2021,5598352
2022,5598183
2023,5596705
2024,5596704
2025,5596703
